tournament_id,tournament_name,season,start_date,end_date,is_major,purse,course_name,yards,par,num_holes
191,WGC-American Express Championship,2004,2004-09-30T07:00Z,2004-10-03T07:00Z,False,7000000.0,Mount Juliet,7256,72,18
175,Southern Farm Bureau Classic,2004,2004-09-30T07:00Z,2004-10-03T07:00Z,False,3000000.0,Annandale GC,0,0,18
194,Michelin Championship at Las Vegas,2004,2004-10-07T07:00Z,2004-10-10T07:00Z,False,4000000.0,TPC at Summerlin,0,0,18
194,Michelin Championship at Las Vegas,2004,2004-10-07T07:00Z,2004-10-10T07:00Z,False,4000000.0,TPC at The Canyons,7063,71,18
194,Michelin Championship at Las Vegas,2004,2004-10-07T07:00Z,2004-10-10T07:00Z,False,4000000.0,Bear's Best,7227,72,18
163,Chrysler Classic of Greensboro,2004,2004-10-14T07:00Z,2004-10-17T07:00Z,False,4600000.0,Forest Oaks,7311,72,18
185,FUNAI Classic at the WALT DISNEY WORLD Resort,2004,2004-10-21T07:00Z,2004-10-24T07:00Z,False,4200000.0,Magnolia GC,0,0,18
185,FUNAI Classic at the WALT DISNEY WORLD Resort,2004,2004-10-21T07:00Z,2004-10-24T07:00Z,False,4200000.0,Palm GC,0,0,18
188,Chrysler Championship,2004,2004-10-28T07:00Z,2004-10-31T07:00Z,False,5000000.0,Innisbrook Resort -Copperhead,0,0,36
186,THE TOUR Championship presented by Coca-Cola,2004,2004-11-04T08:00Z,2004-11-07T08:00Z,False,6000000.0,East Lake Golf Club,0,0,18
245,WGC-World Cup,2004,2004-11-18T08:00Z,2004-11-21T08:00Z,False,4000000.0,Real Club de Golf de Sevilla,7134,72,18
196,Mercedes Championships,2005,2005-01-06T08:00Z,2005-01-09T08:00Z,False,5300000.0,Plantation Course,7411,73,18
202,Sony Open in Hawaii,2005,2005-01-13T08:00Z,2005-01-16T08:00Z,False,4800000.0,Waialae CC,7044,70,18
201,Buick Invitational,2005,2005-01-20T08:00Z,2005-01-23T08:00Z,False,4800000.0,Torrey Pines North,0,0,18
201,Buick Invitational,2005,2005-01-20T08:00Z,2005-01-23T08:00Z,False,4800000.0,Torrey Pines South,0,0,18
198,Bob Hope Chrysler Classic,2005,2005-01-26T08:00Z,2005-01-30T08:00Z,False,4700000.0,PGA West (Palmer),0,0,18
198,Bob Hope Chrysler Classic,2005,2005-01-26T08:00Z,2005-01-30T08:00Z,False,4700000.0,Bermuda Dunes CC,0,0,18
198,Bob Hope Chrysler Classic,2005,2005-01-26T08:00Z,2005-01-30T08:00Z,False,4700000.0,Indian Wells Celebrity Course,6478,72,18
198,Bob Hope Chrysler Classic,2005,2005-01-26T08:00Z,2005-01-30T08:00Z,False,4700000.0,La Quinta CC,7060,72,36
198,Bob Hope Chrysler Classic,2005,2005-01-26T08:00Z,2005-01-30T08:00Z,False,4700000.0,Tamarisk,6881,72,18
199,FBR Open,2005,2005-02-03T08:00Z,2005-02-06T08:00Z,False,5200000.0,TPC Scottsdale,0,0,18
200,AT&T Pebble Beach National Pro-Am,2005,2005-02-10T08:00Z,2005-02-13T08:00Z,False,5300000.0,Spyglass Hill GC,0,0,18
200,AT&T Pebble Beach National Pro-Am,2005,2005-02-10T08:00Z,2005-02-13T08:00Z,False,5300000.0,Pebble Beach Golf Links,6822,72,18
200,AT&T Pebble Beach National Pro-Am,2005,2005-02-10T08:00Z,2005-02-13T08:00Z,False,5300000.0,Poppy Hills GC,0,0,0
203,Nissan Open,2005,2005-02-17T08:00Z,2005-02-20T08:00Z,False,4800000.0,Riviera Country Club,0,0,18
240,WGC-Accenture Match Play Championship,2005,2005-02-23T08:00Z,2005-02-27T08:00Z,False,7500000.0,La Costa-South Course,7247,72,18
197,Chrysler Classic of Tucson,2005,2005-02-24T08:00Z,2005-02-27T08:00Z,False,3000000.0,Omni Tucson National Golf Resort and Spa,7213,72,18
204,Ford Championship at Doral,2005,2005-03-03T08:00Z,2005-03-06T08:00Z,False,5500000.0,Doral Golf Resort and Spa,0,0,0
205,The Honda Classic,2005,2005-03-10T08:00Z,2005-03-13T08:00Z,False,5500000.0,The Country Club at Mirasol-Sunrise,7416,72,18
206,Bay Hill Invitational Presented by MasterCard,2005,2005-03-17T08:00Z,2005-03-20T08:00Z,False,5000000.0,Bay Hill Club & Lodge,0,0,18
208,THE PLAYERS Championship,2005,2005-03-24T08:00Z,2005-03-27T08:00Z,False,8000000.0,TPC Sawgrass,0,0,18
209,BellSouth Classic,2005,2005-03-31T08:00Z,2005-04-03T08:00Z,False,5000000.0,TPC Sugarloaf,7311,72,54
210,Masters Tournament,2005,2005-04-07T07:00Z,2005-04-10T07:00Z,True,7000000.0,Augusta National Golf Club,0,0,18
211,MCI Heritage,2005,2005-04-14T07:00Z,2005-04-17T07:00Z,False,5200000.0,Harbour Town Golf Links,0,0,18
213,Shell Houston Open,2005,2005-04-21T07:00Z,2005-04-24T07:00Z,False,5000000.0,Golf Club of Houston,7508,72,18
207,Zurich Classic of New Orleans,2005,2005-04-28T07:00Z,2005-05-01T07:00Z,False,5500000.0,TPC of Louisiana,0,0,18
243,Wachovia Championship,2005,2005-05-05T07:00Z,2005-05-08T07:00Z,False,6000000.0,Quail Hollow Club,0,0,18
214,EDS Byron Nelson Championship,2005,2005-05-12T07:00Z,2005-05-15T07:00Z,False,6200000.0,TPC Four Seasons Resort,0,0,18
214,EDS Byron Nelson Championship,2005,2005-05-12T07:00Z,2005-05-15T07:00Z,False,6200000.0,TPC Four Seasons-Cottonwood Valley,6847,70,18
215,Bank of America Colonial,2005,2005-05-19T07:00Z,2005-05-22T07:00Z,False,5600000.0,Colonial CC,0,0,18
220,FedEx St. Jude Classic,2005,2005-05-26T07:00Z,2005-05-29T07:00Z,False,4900000.0,TPC Southwind,0,0,18
217,the Memorial Tournament,2005,2005-06-02T07:00Z,2005-06-05T07:00Z,False,5500000.0,Muirfield Village GC,0,0,18
216,Booz Allen Classic,2005,2005-06-09T07:00Z,2005-06-12T07:00Z,False,5000000.0,Congressional Country Club,0,0,18
219,U.S. Open Championship,2005,2005-06-16T07:00Z,2005-06-19T07:00Z,True,6250000.0,Glen Oaks Club,7214,70,0
218,Barclays Classic,2005,2005-06-23T07:00Z,2005-06-26T07:00Z,False,5750000.0,Westchester CC,6839,71,18
222,Cialis Western Open,2005,2005-06-30T07:00Z,2005-07-03T07:00Z,False,5000000.0,Cog Hill G&CC,0,0,18
231,John Deere Classic,2005,2005-07-07T07:00Z,2005-07-10T07:00Z,False,4000000.0,TPC Deere Run,0,0,18
233,B.C. Open,2005,2005-07-14T07:00Z,2005-07-17T07:00Z,False,3000000.0,En-Joie GC,6974,72,18
223,British Open Championship,2005,2005-07-14T07:00Z,2005-07-17T07:00Z,True,6754555.0,St Andrews - Old Course,7279,72,0
229,U.S. Bank Championship in Milwaukee,2005,2005-07-21T07:00Z,2005-07-24T07:00Z,False,3800000.0,Brown Deer Park GC,0,0,18
225,Buick Open,2005,2005-07-28T07:00Z,2005-07-31T07:00Z,False,4600000.0,Warwick Hills G&CC,0,0,18
227,The INTERNATIONAL,2005,2005-08-04T07:00Z,2005-08-07T07:00Z,False,5000000.0,Castle Pines,7619,72,18
226,PGA Championship,2005,2005-08-11T07:00Z,2005-08-14T07:00Z,True,6250000.0,Baltusrol GC,7392,70,18
228,WGC-NEC Invitational,2005,2005-08-18T07:00Z,2005-08-21T07:00Z,False,7500000.0,Firestone CC (South Course),0,0,0
241,Reno-Tahoe Open,2005,2005-08-18T07:00Z,2005-08-21T07:00Z,False,3000000.0,Montreux G&CC,0,0,18
221,Buick Championship,2005,2005-08-25T07:00Z,2005-08-28T07:00Z,False,4300000.0,TPC River Highlands,0,0,18
244,Deutsche Bank Championship,2005,2005-09-02T07:00Z,2005-09-05T07:00Z,False,5500000.0,TPC Boston,0,0,18
230,Bell Canadian Open,2005,2005-09-08T07:00Z,2005-09-11T07:00Z,False,5000000.0,Shaughnessy G&CC,7010,70,0
238,84 LUMBER Classic,2005,2005-09-15T07:00Z,2005-09-18T07:00Z,False,4400000.0,Nemacolin-Mystic Rock Course,7516,72,18
235,Valero Texas Open,2005,2005-09-22T07:00Z,2005-09-25T07:00Z,False,3500000.0,LaCantera GC,0,0,18
