tournament_id,total_sg:ott,player_url,measured_rounds,average,rounds,player_id,rank_this_week,player_name,rank_last_week,time_period,tournament,season
t007,.529,https://www.pgatour.com/players/player.32791.kyoung-hoon-lee.html,4,.132,4,32791,36,Kyoung-Hoon Lee,,Tournament Only,The Genesis Invitational,2019
t007,.502,https://www.pgatour.com/players/player.27141.j-b--holmes.html,4,.126,4,27141,T37,J.B. Holmes,,Tournament Only,The Genesis Invitational,2019
t007,.504,https://www.pgatour.com/players/player.29479.scott-brown.html,4,.126,4,29479,T37,Scott Brown,,Tournament Only,The Genesis Invitational,2019
t007,.494,https://www.pgatour.com/players/player.34046.jordan-spieth.html,4,.124,4,34046,39,Jordan Spieth,60,Tournament Only,The Genesis Invitational,2019
t007,.466,https://www.pgatour.com/players/player.06522.ernie-els.html,4,.117,4,06522,40,Ernie Els,40,Tournament Only,The Genesis Invitational,2019
t007,.455,https://www.pgatour.com/players/player.32139.danny-willett.html,4,.114,4,32139,41,Danny Willett,,Tournament Only,The Genesis Invitational,2019
t007,.426,https://www.pgatour.com/players/player.37455.si-woo-kim.html,4,.107,4,37455,42,Si Woo Kim,14,Tournament Only,The Genesis Invitational,2019
t007,.367,https://www.pgatour.com/players/player.21209.sergio-garcia.html,4,.092,4,21209,T43,Sergio Garcia,,Tournament Only,The Genesis Invitational,2019
t007,.368,https://www.pgatour.com/players/player.33667.carlos-ortiz.html,4,.092,4,33667,T43,Carlos Ortiz,,Tournament Only,The Genesis Invitational,2019
t007,.318,https://www.pgatour.com/players/player.29970.dylan-frittelli.html,4,.080,4,29970,45,Dylan Frittelli,,Tournament Only,The Genesis Invitational,2019
t007,.308,https://www.pgatour.com/players/player.19846.brian-gay.html,4,.077,4,19846,46,Brian Gay,31,Tournament Only,The Genesis Invitational,2019
t007,.104,https://www.pgatour.com/players/player.24358.robert-garrigus.html,4,.026,4,24358,T47,Robert Garrigus,,Tournament Only,The Genesis Invitational,2019
t007,.105,https://www.pgatour.com/players/player.36799.stephan-jaeger.html,4,.026,4,36799,T47,Stephan Jaeger,,Tournament Only,The Genesis Invitational,2019
t007,.011,https://www.pgatour.com/players/player.01810.phil-mickelson.html,4,.003,4,01810,49,Phil Mickelson,26,Tournament Only,The Genesis Invitational,2019
t007,-.008,https://www.pgatour.com/players/player.28252.seamus-power.html,4,-.002,4,28252,50,Seamus Power,,Tournament Only,The Genesis Invitational,2019
